year,month,neighborhood,crimes,murders,city_quart,neighb_quar
2014,2,c. b. d. / riverfront,97,0,4,1
2014,2,west  end,63,0,4,1
2014,2,east  westwood,11,0,1,1
2014,2,camp  washington,23,0,2,2
2014,2,east price hill,70,0,4,1
2014,2,avondale,66,0,4,1
2014,2,mount airy,45,0,4,1
2014,2,mount  auburn,32,0,3,1
2014,2,west price hill,118,0,4,1
2014,2,sedamsville,8,0,1,1
2014,2,westwood,217,0,4,1
2014,2,over-the-rhine,98,0,4,1
2014,2,evanston,37,1,3,1
2014,2,s.. cumminsville,4,0,1,1
2014,2,northside,64,0,4,1
2014,2,winton hills,18,0,2,1
2014,2,college  hill,75,0,4,2
2014,2,madisonville,42,0,4,1
2014,2,lower price  hill,21,0,2,2
2014,2,o'bryonville,3,0,1,2
2014,2,hyde park,29,0,3,2
2014,2,riverside,10,0,1,1
2014,2,mount  adams,7,0,1,1
2014,2,pleasant ridge,25,0,3,1
2014,2,roselawn,41,0,3,1
2014,2,oakley,40,0,3,1
2014,2,north fairmount,9,0,1,1
2014,2,bondhill,31,0,3,1
2014,2,south  fairmount,44,0,4,1
2014,2,spring grove village,14,0,2,1
2014,2,clifton,33,0,3,1
2014,2,-,0,0,1,1
2014,2,millvale,11,0,1,1
2014,2,fairview,56,0,4,2
2014,2,clifton/university heights,34,0,3,1
2014,2,north avondale,29,0,3,1
2014,2,walnut hills,66,1,4,1
2014,2,corryville,34,0,3,1
2014,2,east  end,17,0,2,2
2014,2,east walnut hills,15,0,2,1
2014,2,mt.  washington,31,0,3,1
2014,2,columbia / tusculum,9,0,1,1
2014,2,fay apartments,19,0,2,1
2014,2,hartwell,21,0,2,1
2014,2,queensgate,17,0,2,2
2014,2,carthage,40,0,3,3
2014,2,english  woods,7,0,1,1
2014,2,kennedy  heights,17,0,2,1
2014,2,sayler  park,9,0,1,1
2014,2,mt.  lookout,14,0,2,2
2014,2,california,6,0,1,4
2014,2,paddock  hills,15,0,2,2
2014,2,pendleton,5,0,1,1
2014,2,linwood,9,0,1,4
2014,8,c. b. d. / riverfront,134,0,4,3
2014,8,west  end,112,1,4,4
2014,8,east  westwood,16,0,1,2
2014,8,camp  washington,31,0,2,4
2014,8,east price hill,157,0,4,2
2014,8,avondale,110,2,4,2
2014,8,mount airy,59,0,3,1
2014,8,mount  auburn,50,0,3,3
2014,8,west price hill,184,0,4,3
2014,8,sedamsville,13,0,1,3
2014,8,westwood,268,0,4,2
2014,8,over-the-rhine,140,0,4,3
2014,8,evanston,67,0,4,3
2014,8,s.. cumminsville,9,0,1,3
2014,8,northside,84,0,4,3
2014,8,winton hills,60,0,3,3
2014,8,college  hill,89,0,4,3
2014,8,madisonville,54,0,3,2
2014,8,lower price  hill,17,0,1,1
2014,8,o'bryonville,3,0,1,2
2014,8,hyde park,34,0,2,2
2014,8,riverside,16,0,1,3
2014,8,mount  adams,33,0,2,4
2014,8,pleasant ridge,37,0,3,2
2014,8,roselawn,51,0,3,1
2014,8,oakley,57,0,3,2
2014,8,north fairmount,15,0,1,3
2014,8,bondhill,57,0,3,2
2014,8,south  fairmount,67,0,4,3
2014,8,spring grove village,26,0,2,2
2014,8,clifton,93,0,4,4
2014,8,-,6,0,1,3
2014,8,millvale,23,1,2,2
2014,8,fairview,84,1,4,4
2014,8,clifton/university heights,54,0,3,3
2014,8,north avondale,46,0,3,3
2014,8,walnut hills,115,1,4,3
2014,8,corryville,48,0,3,3
2014,8,east  end,25,0,2,4
2014,8,east walnut hills,25,0,2,3
2014,8,mt.  washington,64,0,3,4
2014,8,columbia / tusculum,11,0,1,2
2014,8,fay apartments,25,0,2,3
2014,8,hartwell,26,0,2,2
2014,8,queensgate,28,0,2,4
2014,8,carthage,39,0,3,3
2014,8,english  woods,18,0,2,3
2014,8,kennedy  heights,17,0,1,1
2014,8,sayler  park,28,0,2,4
2014,8,mt.  lookout,8,0,1,1
2014,8,california,7,0,1,4
2014,8,paddock  hills,16,0,1,2
2014,8,pendleton,17,0,1,4
2014,8,linwood,4,0,1,1
2014,6,c. b. d. / riverfront,154,0,4,4
2014,6,west  end,89,0,4,3
2014,6,east  westwood,8,0,1,1
2014,6,camp  washington,21,0,2,2
2014,6,east price hill,185,0,4,4
2014,6,avondale,122,1,4,2
2014,6,mount airy,74,0,4,2
2014,6,mount  auburn,54,0,3,3
2014,6,west price hill,188,0,4,3
2014,6,sedamsville,14,0,1,3
2014,6,westwood,284,0,4,3
2014,6,over-the-rhine,149,0,4,3
2014,6,evanston,61,0,3,3
2014,6,s.. cumminsville,4,0,1,1
2014,6,northside,86,1,4,3
2014,6,winton hills,68,0,4,4
2014,6,college  hill,97,0,4,4
